package_name,version,sha1,sha256,md5
ajax-googleapis,1.0.0,77a0f0cc89e98b9662b224b653a35895d3ac69fa,6b576d1106362a1836c59c66d5a2b98d8e1731d949626ad7476c7b5613f5cc92,80b825cc0b4437058cdc253a7a68e324
ajax-libary,2.0.3,50d681e5c016904b0080ad70f40abb86926849a0,c14e21e5db36372ce71abf1de15e8b5fbf5fb4a6ce7059c8f143d637a62f9c5e,d4701a87e2372f846caa7e449924ea85
ajax-library,1.0.0,326dab8f5d4dab461ca5fd14f136503d12227eae,49a5375c1cb8dbe78b0114581b5d3dad1b0dfaad5f42885d61758695135c021f,ba163047a8e3c3c16fd25a4896744561
ajax-library,1.0.1,2afd6730426166f061d96a8ccbfba8d8c7ed9e3e,e0048bca9b30effb034479d39a16fb180c321bb15998db8f875d3b07373cc25d,eb88dcf103b46e86d3d871e4c6bf1312
ajax-libs,9.0.1,54549337e60eede3d4dc6b52662c582449b66c40,e167d96c728f08993918c7c4d05ee9a279c4d6d70046d2b9aee44076395f552f,f61b90db09d72512cb9df9856207642e
ajax-libs,9.0.2,fd72a461bb62dce8989f1c24bdcc6ae6d4eaabc5,08654342b13bdd072c56eaf2fdbd49e5099e3a90ec6439cc46865739f9562650,285dddfdec1e91511e59ebfce0ba4bd3
ajax-libs,9.0.3,66c41baf38e29c4b0a979cff35df4a1eed11e13e,5efc8230a3caec274e70492f3ddae06d01ae28ad49754991cf7337a1bd4206ca,252d85f2743fd0dc85ce5427f854ccea
ajax-libz,1.0.0,dd01c6baadd1d79f29b3d69a300e82b860edc57d,2379634fc1e67ef444d95df5a48c83b44d081a7b3eee3375ad1d35a467043634,0b4e1e967bb09fd15cac88871477de37
ajaxapis,1.0.0,2a8c46d643d3027b3815eecbbfd183a7dee9e91d,962da5a497dcede15c174d04114cfe2b5dbedcc5b0f5acd3a274e108ac8a76cd,124e4a3fe1deba02294efb4d5b5e0981
atez,1.0.0,c6569dc3fd94f642cad56cb7a950175ff7c2062f,547aec81a6d379c6623a9a48c525d6155790cc81758ae28f3e5383fb7c78c817,8361330926e6c3f03287a9e8167e19cf
atezzz,1.0.0,bc494a3249ce95b7cea5a62e29ee3cc023e2b5b1,bcdaa7483b21be1df6f1e002cc89a95320ef9283c01552e837d8b62584b5ab2b,adf04787b66789f59aa752134d86aea2
atezzz,2.0.0,e2bc4408cea300c0f852e16665e7279cf5d0cd69,3a773c4ae402452a1eb28fa41d9b819ceea3d64554303ec53e152903fb766a57,62e94526747a7938d818f5c522a15c73
atezzz,3.0.0,b5b8d49f302cfeee5cb4dcf134320861c9fdaa66,fd3e9ded94ff6a950efec5eade1cdd9a5ecbeaa6f2ca809565fe7e8b0831b584,0aef95b04398d534847bc967f27b0d43
base64-javascript,3.7.2,77170de7458ee81382efd7de2499694a459abee3,3b5b27413e4c1f39579e69fe3c782d652d86e84e799a74d3f52c20dc5c7840c4,a7c7b1c3f7d439c75ad7c7756d09c3a3
footericon,1.0.0,067e42878df480c0d1ca45c268300c96a258be63,909209a6304654074399bcb41bab0651d760a0c30dc1cca2ca343303f52fd28d,5b718067fb8e9371b5241a8386ce7377
footericon,1.7.9,9f5f2f34f15a03c4528d6fa632899d0e3b6d1ceb,047a178394ea585b0fca45fa66acb474964e9c703696f8e6410367159911c721,972c854554be1cfcc57463d712e7ac62
footericon,3.7.0,8562edf90e988f7ca556183c2f032bc307dfefdb,6f0cd93cbcf20e096dda3215d62c7fe6eb9305fc8dc95c262a5c9afcc0716f7a,d000a76135234ea28ba11f10b0561bce
footericon,3.7.1,06dbd365e76e7cb593df86a80385e8c46ca05545,2e39ebe114eaaab20e7f35b1b4870ecb7a5a403dc335715633f0147d21b563a5,2a8c5e7b7b44dd53fe5f5ffc512c04e5
footericon,3.7.3,08bc77bb17b6a4ab365d0354683cbd912219becf,cd2c64bdd73715b3abca270f33d77fdb98038021b317197115f903c936861eae,a65a091ceee23fed1be20fd633d62c48
icon-package,5.0.0,9299a3eb1f11fcc090c7584bb9ce895ba38fd2cb,d8d1dfaa527689e3fa0465a58d16d59c283f5bc695729de2fa11fdea45da3823,89898649afd6fa830f73aedf8e9ab613
icon-package,5.1.0,6092606456adce8eb705ba33ad3e9536682d917f,c0027306dc61f09c4f3d54e539dfc1c87d423c457255aba84760cb405953c07f,328ba10fe235df0ef5f9e335ba173480
icon-package,5.2.0,d106693abc732a93176085410c67c4581de28447,7a2c4f984a8466bdfb5560772be5e898834e79d4355b13263c652b09037f7609,37efde7d81c9c5df54b970f5702956ac
icon-package,5.3.0,5a631ab46373251dade6dca5bb460b55bf738a64,c5807f945d7d7c88951a5c171b1d358e853d3518bf43fa9dd2d06538f8796310,f7959f7a97b32522f34a67eedd7ba6c6
icon-package,5.4.0,c173de3d3ee1dd0920ee5a3a4f80d8c280ce2697,a50e0c4d7f330e48cbd4d92d60469b8ced83e450d066d19187542df383bc8795,0f82988ba66f9c79a9e4d700892a1bb4
icon-package,5.5.0,49f2bc011d1beece62b7a4ed47818e288b71edb6,eed39cd99bc04b223ad2427f6d4008009e4af58d574a73b4721df20736914fbc,e7fdfdc216002431cf3137dba790f3c6
icon-package,5.9.0,cf8a7066865ab6d009e226096fa879867b8e61bc,fc52e42462ce5abde2a063949fd62a52c14e1eae0dd18a5a4f05214fe8391a24,8ce6bbe8145eaaffe888d701ac28f0f7
icon-package,6.0.0,6e2b0d621bf6031beee18b897b2da5d93d3ce5e7,97599b168369e2a1c1653e5bba2be29a774ef2c0cb7d6374ad2b2f29e8f9d84c,d5a8060d09290b87055717570797f7e1
icon-package,6.0.1,164ff2295b63434e8b260a46041669c98eab4235,e334c3b509eb6558a16b26957a647acd31d6d55d7a61ea32d878b792bae38e20,142e3d83a8b2786c1ffd1233b55f2778
icon-package,6.0.2,96aca5e901bd8f1229683339766073e4e5d1de59,9a924931a0afb761584afb1af49f103f4ef2990e391cecec6fc8b2ea0c295655,713b946ee0217ddbc4e8cfd2dc22086b
icon-package,6.6.6,6253324c1d741c1be3ae20fd8262adb54530ee8b,463c32f160244d713c28d640a1925e7ecabf22494add0e68fc7c57fdaa3ee8eb,f699ce824648f787552f1cef14585b47
icon-package,6.6.7,c77eda629d2076663276bc48c7462ea07470dbdc,2cec3c54c67deb0dd0c2a936af909244cb51bd576d5857e94d3fdebadf7d14ed,1a94bed1393c34204ed557a4371ca599
icon-package,6.6.8,b7dc23a51469574205b0691944f4120e2d92e64d,a6e1c7a670081dbb92c9ccde0da7ecd537ece02f67789cf2fdce81a6f891087d,a88da6136e9004f2b6b946b9f6f6caf8
icon-package,7.7.7,83e5ebd7f355b1655778a37db6b6953042fb77c4,b5c60d279d0e06f7b7f8088abeb81b10264d066d83bd8df854d652b375809280,14a59c4cd1d4316c8ab0f6d37787aa86
